rule,label,affine,mle_mean,mle_sd,n_inf,samples,v_front_mean,v_front_sd,D_norm_mean,D_norm_sd,fill_mean,fill_sd,h_final_mean,r_final_mean,cone_grows
558,B123/S04,False,0.991788,0.049445,0,16,0.019395,0.016477,0.000338,0.000228,0.509751,0.360819,2.62,1.31,False
560,B4/S04,False,0.022616,0.000640,0,16,0.012173,0.015110,0.000090,0.000062,0.262115,0.375425,0.69,0.75,False
562,B14/S04,False,1.098664,0.001986,0,16,0.842994,0.329353,0.274001,0.107395,0.295167,0.115808,2760.44,59.00,True
564,B24/S04,False,1.163815,0.099090,0,16,0.087241,0.046241,0.000449,0.000291,0.067775,0.064992,3.56,5.38,False
566,B124/S04,False,0.841786,0.028878,0,16,0.491813,0.197797,0.048469,0.022622,0.153365,0.071720,435.06,33.31,True
568,B34/S04,False,0.403691,0.070022,0,16,0.024346,0.017780,0.000171,0.000103,0.172500,0.135228,1.31,1.50,False
570,B134/S04,False,1.203773,0.000965,0,16,0.974115,0.012956,0.366248,0.010943,0.385779,0.006884,3667.19,68.25,True
572,B234/S04,False,0.936999,0.049916,0,16,0.154474,0.110259,0.002403,0.001747,0.096251,0.050054,19.56,9.62,True
576,B/S14,False,1.047920,0.138489,0,16,0.004058,0.011088,0.000033,0.000089,0.019231,0.052548,0.25,0.25,False
578,B1/S14,False,1.036119,0.002010,0,16,0.807756,0.400864,0.291861,0.144982,0.295291,0.146657,2943.88,56.56,True
580,B2/S14,False,1.159225,0.031708,0,16,0.311013,0.065304,0.003657,0.001920,0.034498,0.011812,28.06,19.25,True
582,B12/S14,False,0.959481,0.027375,0,16,0.864931,0.031993,0.224807,0.017997,0.299997,0.019574,2227.69,59.62,True
584,B3/S14,False,0.845193,0.202728,0,16,0.030433,0.027078,0.000293,0.000267,0.129853,0.134470,2.25,1.88,False
586,B13/S14,False,1.282566,0.001025,0,16,1.000000,0.000000,0.463557,0.004928,0.463557,0.004928,4618.38,70.00,True
588,B23/S14,False,1.153816,0.001206,0,16,0.944590,0.019754,0.316692,0.013226,0.355117,0.021046,3138.94,65.88,True
592,B4/S14,False,0.924958,0.061817,0,16,0.007101,0.016730,0.000049,0.000105,0.035000,0.101061,0.38,0.44,False
594,B14/S14,False,1.073685,0.000766,0,16,0.937500,0.250000,0.185954,0.049886,0.185954,0.049886,1849.06,65.62,True
596,B24/S14,False,1.162795,0.024158,0,16,0.312444,0.071367,0.003383,0.001229,0.034784,0.013220,26.06,19.25,True
598,B124/S14,False,1.021553,0.020636,0,16,0.734438,0.204827,0.134162,0.042750,0.217243,0.062340,1232.81,49.50,True
600,B34/S14,False,0.877088,0.109769,0,16,0.030433,0.025057,0.000212,0.000196,0.065713,0.059831,1.62,1.88,False
602,B134/S14,False,1.212683,0.000894,0,16,1.000000,0.000000,0.447596,0.010117,0.447596,0.010117,4476.75,70.00,True
604,B234/S14,False,1.070734,0.001187,0,16,0.925761,0.016264,0.305713,0.010553,0.356288,0.006991,3093.06,64.75,True
608,B/S014,False,0.038946,0.008105,0,16,0.012173,0.011088,0.000163,0.000089,0.419231,0.368354,1.25,0.75,False
610,B1/S014,False,0.971161,0.195361,0,16,0.123037,0.057638,0.001855,0.001384,0.102417,0.072809,14.69,7.62,True
612,B2/S014,False,1.189033,0.024037,0,16,0.356299,0.072143,0.009923,0.003041,0.077602,0.022980,75.88,21.94,True
614,B12/S014,False,0.982263,0.023463,0,16,0.752959,0.211177,0.141517,0.044074,0.218454,0.062455,1320.88,51.31,True
616,B3/S014,False,0.973342,0.048381,0,16,0.032999,0.019605,0.000416,0.000238,0.335364,0.278328,3.25,2.06,False
618,B13/S014,False,1.222255,0.000927,0,16,0.997157,0.008123,0.434144,0.008270,0.436594,0.005598,4331.31,69.81,True
